by_source,concurrency,requests,ok,fail,wall_s,rps,mean,p50,p90,p95,p99,max,err_sample
"{""general_rule:vod_fuzzy_strong"": {""n"": 30, ""p50"": 329.72039468586445, ""p90"": 420.0930390506983}, ""badcase"": {""n"": 12, ""p50"": 357.84967988729477, ""p90"": 422.97475077211857}, ""llm_select"": {""n"": 12, ""p50"": 600.3183424472809, ""p90"": 958.8807158172132}, ""general_rule:vod_relate"": {""n"": 3, ""p50"": 342.55659207701683, ""p90"": 372.9029171168804}, ""general_rule"": {""n"": 2, ""p50"": 385.46619936823845, ""p90"": 409.4781778752804}, ""general_rule:music_song_search"": {""n"": 1, ""p50"": 423.83039370179176, ""p90"": 423.83039370179176}}",1,60,60,0,23.73449756577611,2.5279658789371986,395.48097364604473,363.15291561186314,603.9705589413643,662.4144278466702,1044.0600400418039,1119.1287972033024,
"{""general_rule:vod_fuzzy_strong"": {""n"": 60, ""p50"": 492.89376102387905, ""p90"": 667.6703933626413}}",4,60,60,0,7.914466477930546,7.581054284241361,515.2014336859187,492.89376102387905,667.6703933626413,752.2115467116234,973.7350372970096,1105.140257626772,
"{""general_rule:vod_fuzzy_strong"": {""n"": 60, ""p50"": 1836.2962137907743, ""p90"": 2626.741958409548}}",16,60,60,0,7.272495213896036,8.250263250136493,1797.7687917028863,1836.2962137907743,2626.741958409548,2816.8546667322516,3135.541667900977,3588.8952910900116,
"{""general_rule:vod_fuzzy_strong"": {""n"": 60, ""p50"": 3064.6287836134434, ""p90"": 4085.1609133183956}}",32,60,60,0,6.29047005623579,9.538237916023707,2982.0016822467246,3064.6287836134434,4085.1609133183956,4248.245256021617,5163.287595659494,5237.530343234539,
